タスク名,バケット,開始日,期限,優先度,進捗,メモ
測定班MTGで連携する内容を整理,6_広報,2026-07-27,2026-07-28,重要,未開始,WBS No.116 / 担当:城間／小林(共同) / WBS状態:要確認 / ★7月末タスクリストより／完了確認が必要
アンケート施策の検討結果を全体共有,6_広報,2026-07-28,2026-07-29,重要,未開始,WBS No.115 / 担当:城間(単独) / WBS状態:要確認 / ★7月末タスクリストより／完了確認が必要
アンバサダー定例での告知内容の整理・共有,6_広報,2026-08-04,2026-08-05,重要,進行中,WBS No.113 / 担当:小林／城間(共同) / WBS状態:準備中 / 8/5開催
ソロ／コラボ／ジャム 募集告知の準備（告知文・エントリー要項）,3_役員審査,2026-08-04,2026-08-06,重要,未開始,WBS No.29 / 担当:小林／城間(共同) / ◎追加／審査観点・役員体制の記載を含む
チラシ・アンケートのテンプレート準備と配布依頼文作成,6_広報,2026-08-04,2026-08-08,重要,未開始,WBS No.114 / 担当:城間／堤(共同) / テンプレート文で負担軽減
案内HTMLの見せ方改善（ページ送り・内容が伝わる形へ）,6_広報,2026-08-04,2026-08-08,中,未開始,WBS No.118 / 担当:城間(単独) / ★7月末タスクリストより／8月上旬対応
AI採点の評価項目・加点割合の説明方法を整理,3_役員審査,2026-08-05,2026-08-15,重要,未開始,WBS No.39 / 担当:城間／堤(共同) / ★7月末タスクリストより／全ステージ共通
【デビューライブ 第2クール AI審査】② AI一次評価（ルーブリック4軸×10点＝40点）,2_第2クール,2026-08-17,2026-08-18,重要,未開始,WBS No.15 / 担当:城間(単独) / 工数1人日 / ハードル記述／工夫・きっかけ／業務での変化／共感・再現性
【デビューライブ 第2クール AI審査】③ 事務局3名による採点・確認,2_第2クール,2026-08-18,2026-08-18,重要,未開始,WBS No.16 / 担当:城間／宮内／小林(共同) / 工数1人日 / AI一次評価を土台に担当者が内容を確認して採点
【デビューライブ 第2クール AI審査】⑤ 加点の確認（AI活用応募＋10点）,2_第2クール,2026-08-20,2026-08-20,中,未開始,WBS No.18 / 担当:城間(単独) / 工数0.3人日 / Copilot等のAI活用で応募した場合に自動加点
バズステージ 第2クール いいね数集計・同点／重複受賞の確認,2_第2クール,2026-08-17,2026-08-21,重要,未開始,WBS No.20 / 担当:宮内／城間(共同) / 1投稿あたり平均いいね数でタイブレーク
クルー／シーンの選定基準・集計ロジックを確定,5_第3クール,2026-08-17,2026-08-21,重要,未開始,WBS No.75 / 担当:宮内／城間(共同) / 工数1人日 / 感謝メンションのデータソース・カウント期間・順位づけ基準を確定
SharePoint権限・複製操作による上書き事故の防止ルール整備,1_共通基盤,2026-08-05,2026-08-22,中,未開始,WBS No.6 / 担当:株木／城間(共同) / ISSUE57（DEBUT-2026-000019）の恒久対策
【デビューライブ 第2クール AI審査】⑥ 3人平均で集計・受賞者調整（金2・銀2・銅2）,2_第2クール,2026-08-21,2026-08-24,重要,未開始,WBS No.19 / 担当:城間／宮内(共同) / 工数1人日 / 同点はAI採点→エントリー日時順
9/9締切分の募集告知準備（告知文・エントリー要項・審査観点の整理）,5_第3クール,2026-08-17,2026-08-24,重要,未開始,WBS No.74 / 担当:小林／城間(共同) / 工数1人日 / ◎追加／第3クール＝デビュー・バズ／第2クール＝アンコール・クルー・シーン
デビュー／バズ 審査結果の突合・重複／繰り上げ・賞金調整,2_第2クール,2026-08-24,2026-08-26,重要,未開始,WBS No.21 / 担当:城間／宮内／小林(共同) / ▲修正／両ステージとも役員審査なし。1人1賞金受領ルールを適用
各部からのエントリー準備状況フォロー,4_GF,2026-08-10,2026-08-28,中,未開始,WBS No.59 / 担当:小林／城間(共同) / 4部門対抗
【グランドフィナーレ 事前審査】② 事前審査（AI）実施,4_GF,2026-09-01,2026-09-01,重要,未開始,WBS No.63 / 担当:城間(単独) / 工数0.5人日 / AIによる一次スクリーニング
【審査シート】② 審査シート作成,3_役員審査,2026-09-02,2026-09-03,重要,未開始,WBS No.43 / 担当:城間(単独) / 工数2人日 / ソロ／コラボ／ジャムの3ステージ分
【グランドフィナーレ 事前審査】⑥ 集計＆調整,4_GF,2026-09-07,2026-09-08,重要,未開始,WBS No.67 / 担当:宮内／城間(共同) / 工数2人日 / 重複・同点時の調整を含む
社長MTG 実施（ソロの役員審査シートを説明しながら審査いただく）,3_役員審査,2026-09-07,2026-09-09,重要,未開始,WBS No.37 / 担当:堤／小林／宮内／城間(共同) / 工数1人日 / ◎追加／1H〜2H程度／シート・作品リンク・審査観点の説明資料を持参
クルーアワード・シーンメーカーの推薦／感謝メンション累積の案内,5_第3クール,2026-08-25,2026-09-09,中,未開始,WBS No.77 / 担当:城間(単独) / アンバサダー定例の積み重ね分を集約
【シーンメーカー 第2クール 集計】① アンバサダー活動の加点データを堤さんから受領,5_第3クール,2026-09-09,2026-09-09,重要,未開始,WBS No.103 / 担当:城間 ← 堤(単独) / 工数0.3人日 / ◎追加／定例参加・告知協力などの活動実績を受領
【デビューライブ 第3クール AI審査】② AI一次評価（4軸×10点＝40点）,5_第3クール,2026-09-10,2026-09-10,重要,未開始,WBS No.82 / 担当:城間(単独) / 工数1人日 / ハードル記述／工夫・きっかけ／業務での変化／共感・再現性
【クルーアワード 第2クール 集計】① 感謝メンション・定例参加実績のデータ収集・整形,5_第3クール,2026-09-09,2026-09-10,重要,未開始,WBS No.98 / 担当:城間／堤(共同) / 工数1人日 / メンション累積・アンバサダー定例の参加実績を抽出
【シーンメーカー 第2クール 集計】② 告知・Tips発信の実績データ収集・整形,5_第3クール,2026-09-09,2026-09-10,重要,未開始,WBS No.104 / 担当:城間／堤(共同) / 工数0.5人日 / 投稿数・いいね数を抽出
【審査シート】⑦ 集計して受賞者決定,3_役員審査,2026-09-10,2026-09-11,重要,未開始,WBS No.48 / 担当:城間／宮内(共同) / 工数2人日 / 1人1賞金受領・繰り上げ判定を反映
【デビューライブ 第3クール AI審査】③ 事務局3名による採点・確認,5_第3クール,2026-09-10,2026-09-11,重要,未開始,WBS No.83 / 担当:城間／宮内／小林(共同) / 工数1.5人日 / AI一次評価を土台に内容を確認して採点
【デビューライブ 第3クール AI審査】⑤ 加点の確認（AI活用応募＋10点）,5_第3クール,2026-09-11,2026-09-11,中,未開始,WBS No.85 / 担当:城間(単独) / 工数0.3人日 / Copilot等のAI活用で応募した場合に自動加点
【バズステージ 第3クール 集計】③ 加点の確認（マルチAIのTips発信）,5_第3クール,2026-09-11,2026-09-11,中,未開始,WBS No.90 / 担当:城間(単独) / 工数0.3人日 / マルチAI活用Tipsは加点対象
【アンコール 第2クール 集計】③ 加点の確認（投稿の具体性スコア）,5_第3クール,2026-09-11,2026-09-11,中,未開始,WBS No.95 / 担当:城間(単独) / 工数0.3人日 / 同点時は具体性スコア→エントリー日時順
【クルーアワード 第2クール 集計】② 集計・順位づけ（7名の選出）,5_第3クール,2026-09-10,2026-09-11,重要,未開始,WBS No.99 / 担当:宮内／城間(共同) / 工数1人日 / 金1・銀2・銅4の計7名
【クルーアワード 第2クール 集計】③ 加点の確認（複数部署・複数競技にまたがる記入）,5_第3クール,2026-09-11,2026-09-11,中,未開始,WBS No.100 / 担当:城間(単独) / 工数0.3人日 / ◎追加／同点時はエントリー数の多い競技からの記入を優先
